index,tag,name,BATCH,NH,SEQ_Q,SEQ_KV,D_HEAD,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
1,llama70battention,amdsharkfa,1,32,1024,1024,128,fp16,80.5673822760582,170.66666666666666,213.23603546078294,True
4,llama70battention,amdsharkfa,1,32,1024,2048,128,fp16,133.42712819576263,186.1818181818182,257.5168845543,True
7,llama70battention,amdsharkfa,1,32,1024,4096,128,fp16,248.9389181137085,195.04761904761904,276.049551659941,True
9,llama70battention,amdsharkfa,1,32,2048,1024,128,fp16,116.24214798212051,186.1818181818182,295.5876071154927,True
12,llama70battention,amdsharkfa,1,32,2048,2048,128,fp16,206.94276690483093,204.8,332.06996196974006,True
16,llama70battention,amdsharkfa,1,32,2048,4096,128,fp16,388.28045129776,215.57894736842104,353.96825416431386,True
18,llama70battention,amdsharkfa,1,32,4096,1024,128,fp16,241.3572371006012,195.04761904761904,284.72101173148883,True
22,llama70battention,amdsharkfa,1,32,4096,2048,128,fp16,405.3494334220886,215.57894736842104,339.0628976873033,True
25,llama70battention,amdsharkfa,1,40,1024,1024,128,fp16,111.2646758556366,170.66666666666666,193.00677699239526,True
27,llama70battention,amdsharkfa,1,40,1024,2048,128,fp16,201.80095732212067,186.1818181818182,212.83185932285969,True
30,llama70battention,amdsharkfa,1,40,1024,4096,128,fp16,381.5220594406128,195.04761904761904,225.1490937272291,True
33,llama70battention,amdsharkfa,1,40,2048,1024,128,fp16,197.65546917915344,186.1818181818182,217.29564650230213,True
35,llama70battention,amdsharkfa,1,40,2048,2048,128,fp16,347.1376895904541,204.8,247.4503590242312,True
38,llama70battention,amdsharkfa,1,40,2048,4096,128,fp16,676.2161254882812,215.57894736842104,254.05885095678224,True
42,llama70battention,amdsharkfa,1,40,4096,1024,128,fp16,312.16174364089966,195.04761904761904,275.175762789228,True
45,llama70battention,amdsharkfa,1,40,4096,2048,128,fp16,553.0605912208557,215.57894736842104,310.6326767213016,True
48,llama70battention,amdsharkfa,1,64,1024,1024,128,fp16,124.45590645074844,170.66666666666666,276.0796120318914,True
51,llama70battention,amdsharkfa,1,64,1024,2048,128,fp16,229.04013097286224,186.1818181818182,300.03247223143705,True
54,llama70battention,amdsharkfa,1,64,1024,4096,128,fp16,465.9464359283447,195.04761904761904,294.96728137466846,True
57,llama70battention,amdsharkfa,1,64,2048,1024,128,fp16,241.44668877124786,186.1818181818182,284.61552769980796,True
60,llama70battention,amdsharkfa,1,64,2048,2048,128,fp16,428.62358689308167,204.8,320.6518672204653,True
63,llama70battention,amdsharkfa,1,64,4096,1024,128,fp16,402.85125374794006,195.04761904761904,341.16551008177856,True
64,llama70battention,amdsharkfa,2,32,1024,1024,128,fp16,124.54362213611603,170.66666666666666,275.88517002057,True
65,llama70battention,amdsharkfa,2,32,1024,2048,128,fp16,227.53039002418518,186.1818181818182,302.023288971181,True
66,llama70battention,amdsharkfa,2,32,1024,4096,128,fp16,462.6980721950531,195.04761904761904,297.03809402097914,True
67,llama70battention,amdsharkfa,2,32,2048,1024,128,fp16,245.61744928359985,186.1818181818182,279.7825518359394,True
68,llama70battention,amdsharkfa,2,32,2048,2048,128,fp16,419.80406641960144,204.8,327.38833295299094,True
70,llama70battention,amdsharkfa,2,32,4096,1024,128,fp16,401.0615050792694,195.04761904761904,342.6879711251154,True
71,llama70battention,amdsharkfa,2,40,1024,1024,128,fp16,207.95929431915283,170.66666666666666,206.5292301583098,True
72,llama70battention,amdsharkfa,2,40,1024,2048,128,fp16,383.1164836883545,186.1818181818182,224.2120858205482,True
73,llama70battention,amdsharkfa,2,40,1024,4096,128,fp16,716.4123058319092,195.04761904761904,239.8042167080096,True
74,llama70battention,amdsharkfa,2,40,2048,1024,128,fp16,317.6216185092926,186.1818181818182,270.44552673446833,True
76,llama70battention,amdsharkfa,2,40,2048,2048,128,fp16,575.2912759780884,204.8,298.6290580331057,True
77,llama70battention,amdsharkfa,2,40,4096,1024,128,fp16,508.3709955215454,195.04761904761904,337.9396018920181,True
80,llama70battention,amdsharkfa,2,64,1024,1024,128,fp16,258.89772176742554,170.66666666666666,265.4309828100089,True
83,llama70battention,amdsharkfa,2,64,1024,2048,128,fp16,449.79724287986755,186.1818181818182,305.5575721007863,True
84,llama70battention,amdsharkfa,2,64,2048,1024,128,fp16,414.1886830329895,186.1818181818182,331.8269163357445,True
85,llama70battention,amdsharkfa,4,32,1024,1024,128,fp16,260.6223225593567,170.66666666666666,263.67456195295455,True
86,llama70battention,amdsharkfa,4,32,1024,2048,128,fp16,450.5447745323181,186.1818181818182,305.0505992765461,True
87,llama70battention,amdsharkfa,4,32,2048,1024,128,fp16,412.40042448043823,186.1818181818182,333.26579051210274,True
88,llama70battention,amdsharkfa,4,40,1024,1024,128,fp16,339.45584297180176,170.66666666666666,253.05013214085568,True
89,llama70battention,amdsharkfa,4,40,1024,2048,128,fp16,601.630449295044,186.1818181818182,285.55518099408675,True
90,llama70battention,amdsharkfa,4,40,2048,1024,128,fp16,517.9432034492493,186.1818181818182,331.69407513392287,True
91,llama70battention,amdsharkfa,4,64,1024,1024,128,fp16,461.8315398693085,170.66666666666666,297.5954251866237,True
92,sdxlattention,amdsharkfa,2,10,4096,4096,64,fp16,452.3066282272339,120.47058823529412,189.91396667493697,True
93,sdxlattention,amdsharkfa,2,10,4096,64,64,fp16,55.19706383347511,42.22680412371134,24.31609920500909,True
94,sdxlattention,amdsharkfa,2,10,1024,1024,64,fp16,56.922998279333115,102.4,94.31529052026768,True
95,sdxlattention,amdsharkfa,2,20,1024,64,64,fp16,54.780639708042145,40.96,12.25047103459582,True
